Sentence	IsHeaderFooter	Page	Line	X1	X2	Y	Padding	Font
Page   1 / 17	true	1	1	529.5298	574.7186	754.09827	0.0	Arial
MATERIAL SAFETY DATA SHEET	false	1	2	202.19409	426.69394	680.241	0.0	Arial,Bold
according to Regulation (EC) No. 1907/2006	false	1	3	221.56956	407.38245	668.94183	0.0	Arial,Bold
SDS #:	false	1	5	53.93174	83.92178	637.0324	0.0	Arial,Bold
A00786	false	1	5	88.92012	128.90685	637.0324	0.0	Arial,Bold
DIESEL FUEL	false	1	5	262.41788	366.30237	631.795	133.51103	Arial,Bold
Date of the previous version:	false	1	6	53.93174	172.13283	600.516	0.0	Arial,Bold
2013-06-18	false	1	6	176.3543	231.23337	600.516	0.0	Arial,Bold
Revision Date:	false	1	6	296.72446	353.4157	600.516	65.49109	Arial,Bold
2014-05-22	false	1	6	357.77658	410.10696	600.516	65.49109	Arial,Bold
Version  2	false	1	6	531.777	574.7266	600.516	121.67001	Arial,Bold
1. IDENTIFICATION OF THE SUBSTANCE/MIXTURE AND OF THE COMPANY/UNDERTAKING	false	1	7	54.680794	548.4257	577.43256	0.0	ArialBlack,Bold
1.1.  Product identifier	false	1	8	53.93174	182.63885	553.23376	0.0	ArialBlack,Bold
Product name	false	1	9	53.93174	113.86788	532.0416	0.0	Arial,Bold
DIESEL FUEL	false	1	9	210.33379	268.76883	532.0416	96.465904	Arial,Bold
Other names	false	1	10	53.93174	108.8792	522.0033	0.0	Arial,Bold
Diesel Fuel, ULSD 10ppm, Low sulphur Diesel, BioDiesel, Diesel B7, EN590	false	1	10	210.33379	514.0504	522.2457	101.45458	Arial
Pure substance/mixture	false	1	11	53.93174	155.83578	511.9649	0.0	Arial,Bold
Mixture	false	1	11	210.33379	239.79851	512.2074	54.498	Arial
1.2.   Relevant identified uses of the substance or mixture and uses advised against	false	1	12	53.93174	518.90326	489.85138	0.0	ArialBlack,Bold
Identified uses	false	1	13	53.93174	116.87009	468.65927	0.0	Arial,Bold
Fuel for diesel engines and combustion turbines.	false	1	13	210.33379	403.67917	468.90173	93.4637	Arial
1.3.   Details of the supplier of the safety data sheet	false	1	14	53.93174	344.65372	446.54575	0.0	ArialBlack,Bold
Supplier	false	1	15	53.93174	89.895226	425.3536	0.0	Arial,Bold
TOTSA TOTAL OIL TRADING SA	false	1	15	210.33379	346.19687	425.59607	120.43856	Arial
WTC 1 - CP 276	false	1	16	210.33379	282.24277	415.5577	0.0	AAAAAD+ArialUnicode
10 route de l’Aéroport	false	1	17	210.33379	303.21625	405.51932	0.0	AAAAAD+ArialUnicode
