Sentence	IsHeaderFooter	Page	Line	X1	X2	Y	Padding	Font
Safety Data Sheet	false	1	1	238.02	361.97598	794.25	0.0	JKZLMY+NotoSans-Bold
according to Regulation (EC) No. 1907/2006 (REACH)	false	1	2	184.21	415.79156	778.85	0.0	JIHPFE+NotoSans
bbb	false	1	3	291.24	308.7675	763.45	0.0	JIHPFE+NotoSans
Hydroxylamine sulphate	false	1	4	214.17	385.824	732.65	0.0	JKZLMY+NotoSans-Bold
Version number:	false	1	5	48.19	104.14283	708.55	0.0	JIHPFE+NotoSans
6.0	false	1	5	108.13946	124.12599	708.55	0.0	JIHPFE+NotoSans
Revision:	false	1	5	469.66	500.52078	708.55	345.534	JIHPFE+NotoSans
2018-02-06	false	1	5	504.3784	546.81195	708.55	345.534	JIHPFE+NotoSans
Replaces version of:	false	1	6	48.19	118.59201	696.55	0.0	JIHPFE+NotoSans
2016-02-09 (5)	false	1	6	122.29738	177.87793	696.55	0.0	JIHPFE+NotoSans
First version:	false	1	6	455.94	503.1934	696.55	278.06207	JIHPFE+NotoSans
17.08.2005	false	1	6	506.82828	546.8119	696.55	278.06207	JIHPFE+NotoSans
SECTION 1:	false	1	7	52.19	99.22556	662.54	0.0	JKZLMY+NotoSans-Bold
Identification of the substance/mixture and of the company/undertaking	false	1	7	104.45174	475.51007	662.54	0.0	JKZLMY+NotoSans-Bold
1.1Product identifier	false	1	8	48.19	178.95377	637.23	0.0	JKZLMY+NotoSans-Bold
Trade name	false	1	9	88.19	144.71501	614.98	0.0	JKZLMY+NotoSans-Bold
Hydroxylamine sulphate	false	1	9	322.5	438.9794	614.98	177.78499	JKZLMY+NotoSans-Bold
Registration number (REACH)	false	1	10	88.19	227.52649	592.95	0.0	JKZLMY+NotoSans-Bold
01-2119485971-25-xxxx	false	1	10	322.5	427.65546	592.95	94.97351	JIHPFE+NotoSans
EC number	false	1	11	88.19	139.7465	570.91	0.0	JKZLMY+NotoSans-Bold
233-118-8	false	1	11	322.5	366.5705	570.91	182.7535	JIHPFE+NotoSans
CAS number	false	1	12	88.19	146.197	548.88	0.0	JKZLMY+NotoSans-Bold
10039-54-0	false	1	12	322.5	371.995	548.88	176.303	JIHPFE+NotoSans
1.2Relevant identified uses of the substance or mixture and uses advised against	false	1	13	48.19	486.6177	525.72	0.0	JKZLMY+NotoSans-Bold
Relevant identified uses	false	1	14	88.19	202.228	503.47	0.0	JKZLMY+NotoSans-Bold
Intermediate for organic synthesis	false	1	14	322.5	476.33365	503.47	120.272	JIHPFE+NotoSans
Chemicals for synthesis	false	1	15	322.5	427.19962	489.22	0.0	JIHPFE+NotoSans
1.3Details of the supplier of the safety data sheet	false	1	16	48.19	325.11874	466.06	0.0	JKZLMY+NotoSans-Bold
Klaus F. Meyer GmbH	false	1	17	88.19	188.91003	446.06	0.0	JIHPFE+NotoSans
Telephone:	false	1	17	322.5	365.02777	446.06	133.58997	JIHPFE+NotoSans
++49 (0) 6237 - 20 23	false	1	17	369.75308	473.70984	446.06	133.58997	JIHPFE+NotoSans
Leiblstraße 3	false	1	18	88.19	148.70001	431.06	0.0	JIHPFE+NotoSans
Telefax:	false	1	18	322.5	354.08395	431.06	173.79999	JIHPFE+NotoSans
++49 (0) 6237 - 20 26	false	1	18	358.59595	457.85983	431.06	173.79999	JIHPFE+NotoSans
67136 Fussgoenheim	false	1	19	88.19	188.00998	416.06	0.0	JIHPFE+NotoSans
Germany	false	1	20	88.19	131.45999	401.06	0.0	JIHPFE+NotoSans
e-mail (competent person)	false	1	21	88.19	213.58997	376.88	0.0	JKZLMY+NotoSans-Bold
sdb@csb-online.de	false	1	21	322.5	406.70804	376.88	108.910034	JIHPFE+NotoSans
Please do not use this e-mail adress to ask for the latest safety data sheet. For this purpose contact	false	1	22	88.19	527.7553	357.85	0.0	JIHPFE+NotoSans
