Sentence	IsHeaderFooter	Page	Line	X1	X2	Y	Padding	Font
Product Name:	true	1	2	50.5	133.03299	718.682	2.4420013	FAAAAH+ArialMT
MOBIL SUPER 1000 10W-30	true	1	2	140.359	284.646	718.682	7.326004	FAAAAH+ArialMT
Revision Date:	true	1	3	45.0	113.03099	707.909	0.0	FAAAAH+ArialMT
25 Jan 2021	true	1	3	117.02699	166.57198	707.909	3.9960022	FAAAAH+ArialMT
Page 1 of 11	true	1	4	45.0	96.59999	698.498	0.0	FAAAAH+ArialMT
SAFETY DATA SHEET	false	1	7	204.381	416.62097	645.846	0.0	FAAABB+Arial-BoldMT
SECTION 1	false	1	8	50.75	103.54	619.979	2.2200012	FAAABB+Arial-BoldMT
IDENTIFICATION OF THE HAZARDOUS CHEMICAL AND OF THE SUPPLIER	false	1	8	124.65	482.98	619.979	2.2200012	FAAABB+Arial-BoldMT
As of the revision date above, this SDS meets the regulations in Malaysia.	false	1	9	146.806	474.19592	596.231	0.0	FAAAAH+ArialMT
PRODUCT IDENTIFIER	false	1	10	45.0	152.78	584.73206	0.0	FAAABB+Arial-BoldMT
Product Name:	false	1	11	81.0	154.9	573.23303	0.0	FAAABB+Arial-BoldMT
MOBIL SUPER 1000 10W-30	false	1	11	172.12	304.38998	573.23303	4.4400024	FAAABB+Arial-BoldMT
Product Description:	false	1	12	81.0	179.9	561.734	0.0	FAAABB+Arial-BoldMT
Base Oil and Additives	false	1	12	204.0	304.61	561.734	6.6600037	FAAAAH+ArialMT
Product Code:	false	1	13	81.0	152.67001	550.23505	0.0	FAAABB+Arial-BoldMT
201510301058,	false	1	13	204.0	281.84998	550.23505	6.6600037	FAAAAH+ArialMT
483156	false	1	13	288.51996	321.87994	550.23505	6.669983	FAAAAH+ArialMT
RECOMMENDED USE OF THE CHEMICAL AND RESTRICTIONS ON USE	false	1	14	45.0	386.68002	527.23706	0.0	FAAABB+Arial-BoldMT
Recommended Use:	false	1	15	81.0	182.7	513.438	0.0	FAAABB+Arial-BoldMT
Engine oil	false	1	15	225.0	271.69998	513.438	42.300003	FAAAAH+ArialMT
Restrictions on Use:	false	1	16	81.0	183.79999	501.93903	0.0	FAAABB+Arial-BoldMT
None unless specified elsewhere in this SDS.	false	1	16	188.23999	389.46	501.93903	4.4400024	FAAAAH+ArialMT
SUPPLIER DETAILS	false	1	17	45.0	140.57	465.14203	0.0	FAAABB+Arial-BoldMT
Supplier:	false	1	18	81.0	124.33	453.643	0.0	FAAABB+Arial-BoldMT
ExxonMobil Asia Pacific Pte.Ltd. (Company No.:	false	1	18	189.004	394.66013	453.643	64.673996	FAAABB+Arial-BoldMT
196800312N)	false	1	18	399.23026	454.0719	453.643	64.673996	FAAABB+Arial-BoldMT
1 Harbour Front Place	false	1	19	189.0	282.042	443.08206	0.0	FAAAAH+ArialMT
"#06-00 Harbour Front Tower One"	false	1	20	189.0	332.568	432.73306	0.0	FAAAAH+ArialMT
098633	false	1	20	340.56	383.09396	432.73306	7.9920044	FAAAAH+ArialMT
Singapore	false	1	20	393.09296	436.62595	432.73306	9.998993	FAAAAH+ArialMT
24 Hour Emergency Telephone	false	1	22	77.65	214.189	394.78604	0.0	FAAABB+Arial-BoldMT
1-800-815-308 / +1-703-527-3887	false	1	22	330.59998	470.94595	394.78604	116.41098	FAAAAH+ArialMT
Supplier General Contact	false	1	23	80.450005	192.96799	374.08603	0.0	FAAABB+Arial-BoldMT
(+65) 6885 8000	false	1	23	330.59998	401.40295	374.08603	137.63199	FAAAAH+ArialMT
Supplier:	false	1	24	81.0	187.51497	341.88705	0.0	FAAABB+Arial-BoldMT
HT LUBRICANT SENDIRIAN BERHAD (646137-M)	false	1	24	241.49698	450.51294	341.88705	53.98201	FAAABB+Arial-BoldMT
90, Jin Tampoi	false	1	25	242.99998	302.02197	331.53806	55.989	FAAAAH+ArialMT
Johor Bahru	false	1	26	242.99998	304.53296	321.18906	55.989	FAAAAH+ArialMT
81200	false	1	26	314.53195	352.06195	321.18906	9.998993	FAAAAH+ArialMT
Malaysia	false	1	26	362.05194	397.56592	321.18906	9.98999	FAAAAH+ArialMT
Supplier General Contact	false	1	27	76.9	184.918	300.49106	0.0	FAAABB+Arial-BoldMT
+607-335 3663	false	1	27	327.05	387.85397	300.49106	142.13199	FAAAAH+ArialMT
Supplier:	false	1	28	81.0	187.51497	268.29205	0.0	FAAABB+Arial-BoldMT
MOBILUB TRADING SENDIRIAN BERHAD (514125-H)	false	1	28	241.49698	468.01788	268.29205	53.98201	FAAABB+Arial-BoldMT
