Sentence	IsHeaderFooter	Page	Line	X1	X2	Y	Padding	Font
Page  1 of 22	true	1	1	34.74	87.971725	692.3003	0.0	ArialMT
Safety data sheet according to Regulation (EC) No 1907/2006, Annex II	true	1	2	34.74	318.04837	682.2203	0.0	ArialMT
Revised on / Version:	true	1	3	34.74	118.34311	671.90027	0.0	ArialMT
14.08.2014  / 0002	true	1	3	122.52326	201.94621	671.90027	0.0	ArialMT
Replaces revision of / Version:	true	1	4	34.74	156.50876	661.58026	0.0	ArialMT
16.12.2013  / 0001	true	1	4	160.56772	237.68794	661.58026	0.0	ArialMT
Valid from:	true	1	5	34.74	77.88933	651.2002	0.0	ArialMT
14.08.2014	true	1	5	82.20426	129.66852	651.2002	0.0	ArialMT
PDF print date:	true	1	6	34.74	92.5768	640.8802	0.0	ArialMT
22.08.2014	true	1	6	96.708	142.15118	640.8802	0.0	ArialMT
Gandalf	true	1	7	34.74	65.96778	630.5001	0.0	ArialMT
Safety data sheet	false	1	8	239.46	355.9981	604.7003	0.0	Arial-BoldMT
according to Regulation (EC) No 1907/2006, Annex II	false	1	9	121.43951	473.94757	587.96014	0.0	Arial-BoldMT
SECTION 1:	false	1	10	58.98	112.02919	566.0603	0.0	Arial-BoldMT
Identification of the substance/mixture and of the company/undertaking	false	1	10	117.923546	536.4227	566.0603	0.0	Arial-BoldMT
1.1 Product identifier	false	1	11	34.74	146.61708	537.9203	0.0	Arial-BoldMT
Gandalf	false	1	12	34.74	87.535614	510.0803	0.0	Arial-BoldMT
25 g/l beta-Cyfluthrin CAS 68359-37-5	false	1	13	34.74	246.44617	495.5003	0.0	Arial-BoldMT
1.2 Relevant identified uses of the substance or mixture and uses advised against	false	1	14	34.74	472.44574	467.3603	0.0	Arial-BoldMT
Relevant identified uses of the substance or mixture:	false	1	15	34.740005	317.968	454.22028	0.0	Arial-BoldMT
Insecticide	false	1	16	34.74	76.97424	443.3603	0.0	ArialMT
